"spp","state","month","day","year","source","odate"
"vira","arkansas",9,15,"1961","birdstrikes",258
"vira","arkansas",8,31,"1962","birdstrikes",243
"vira","arkansas",11,11,"1962","birdstrikes",315
"vira","arkansas",11,21,"1965","birdstrikes",325
"vira","arkansas",12,23,"1972","birdstrikes",357
"vira","arkansas",12,28,"1963","birdstrikes",362
"vira","arkansas",12,26,"1951","birdstrikes",360
"vira","arkansas",12,28,"1952","birdstrikes",362
"vira","arkansas",10,1,"1952","birdstrikes",274
"vira","arkansas",12,26,"1965","birdstrikes",360
"vira","arkansas",5,14,"1963","birdstrikes",134
"vira","arkansas",10,19,"1952","birdstrikes",292
"vira","arkansas",5,27,"1961","birdstrikes",147
"vira","arkansas",8,10,"1963","birdstrikes",222
"vira","arkansas",10,19,"1952","birdstrikes",292
"vira","arkansas",10,13,"1952","birdstrikes",286
"vira","arkansas",11,12,"1952","birdstrikes",316
"vira","arkansas",10,16,"1952","birdstrikes",289
"vira","arkansas",5,12,"1950","birdstrikes",132
"vira","arkansas",5,27,"1961","birdstrikes",147
"vira","arkansas",5,12,"1971","birdstrikes",132
"vira","arkansas",5,15,"1971","birdstrikes",135
"vira","arkansas",4,26,"1970","birdstrikes",116
"vira","arkansas",9,30,"1963","birdstrikes",273
"vira","arkansas",9,26,"1984","birdstrikes",269
"vira","arkansas",9,30,"1984","birdstrikes",273
"vira","arkansas",9,27,"1978","birdstrikes",270
"vira","arkansas",9,23,"1978","birdstrikes",266
"vira","arkansas",10,20,"1984","birdstrikes",293
"vira","arkansas",5,6,"1985","birdstrikes",126
"vira","arkansas",4,30,"1982","birdstrikes",120
"vira","arkansas",5,1,"1982","birdstrikes",121
"vira","arkansas",4,20,"1974","birdstrikes",110
"sora","arkansas",4,20,"1974","birdstrikes",110
"vira","arkansas",9,22,"1978","birdstrikes",265
"vira","arkansas",4,28,"1984","birdstrikes",118
"vira","arkansas",5,7,"1984","birdstrikes",127
"vira","arkansas",5,11,"1974","birdstrikes",131
"vira","arkansas",4,7,"1976","birdstrikes",97
"sora","ohio",10,7,"1922","birdstrikes",280
"sora","ohio",10,7,"1922","birdstrikes",280
"sora","ohio",10,7,"1922","birdstrikes",280
"sora","ohio",5,17,"1926","birdstrikes",137
"sora","ohio",5,5,"1924","birdstrikes",125
"sora","ohio",9,14,"1924","birdstrikes",257
"sora","ohio",5,20,"1926","birdstrikes",140
"sora","ohio",9,23,"1927","birdstrikes",266
"sora","ohio",10,13,"1927","birdstrikes",286
"sora","ohio",5,7,"1928","birdstrikes",127
"sora","ohio",5,6,"1930","birdstrikes",126
