species,year,month,day,location,county,number,volume,issue
blra,1971,4,28,lake contrary,NA,1,38,2
blra,1963,4,20,beverley lake,NA,1,30,2
kira,2004,4,30,prarie slough ca,lincoln,1,71,3
kira,1967,4,25,NA,st louis,1,34,2
sora,2006,4,30,ebca,boone,43,73,3
sora,2010,4,18,osca,stoddard,27,77,3
sora,1978,4,NA,SCNwr,Holt,5,45,3
sora,1978,4,NA,s.o.,NA,5,45,3
sora,1982,4,24,LBM,NA,1,49,3
vira,2006,4,15,ebca,boone,1,73,3
vira,2009,4,29,chillicothe,livingstone,1,76,NA
vira,2012,4,21,RMBS,NA,2,79,NA
vira,2011,4,7,osca,stoddard,1,78,3
vira,1982,4,23,MTCWA,NA,1,49,3
vira,1982,4,24,LBM,NA,1,49,3
yera,2005,4,26,scnwr,holt,1,72,3
yera,2005,4,25,scnwr,holt,1,72,3
yera,1980,4,26,bigelow marsh,NA,2,47,3
yera,1979,4,17,scnwr,holt,7,46,3
yera,1974,4,6,TUCKER PRARIE,NA,1,41,3
yera,1972,4,15,rosendale,NA,1,39,3
yera,1971,4,26,NA,st charles,1,38,2
yera,1978,4,25,SCNwr,HOLt,2,45,3
yera,1984,4,13,TUCKER PRARIE,NA,1,51,3
yera,1984,4,14,TUCKER PRARIE,NA,1,51,3
sora,2008,4,5,osca,stoddard,1,75,3
vira,2006,4,22,four rivers,vernon,1,73,3
vira,2011,4,26,slnwr,livingstone,1,78,3
kira,2010,8,10,slnwr,livingstone,2,78,1
kira,1978,8,20,S.O,NA,2,46,1
kira,1976,8,NA,SCHell-osage,NA,2,44,3
kira,1975,8,17,SCNWr,HOLt,2,44,1
kira,1971,8,27,scnwr,holt,30,39,1
sora,2003,8,29,ccnwr,lincoln,8,71,1
sora,2005,8,21,dexter rice fields,stoddard,6,73,1
sora,2006,8,15,weldon spring,st charles,1,74,NA
sora,2006,8,21,fgca,livingstone,20,74,NA
sora,2007,8,5,dexter rice fields,stoddard,1,75,NA
sora,2009,8,29,Bkca,lincoln,1,77,
sora,2012,8,26,RMBS,boone,30,80,NA
