"spp","year","round","region","area","averagewater","point_type","annual","perennial","up"
"veg",2012,3,"ne","bkca",38.4,0,0,0,68
"veg",2012,3,"ne","bkca",12.8,0,49,0,43
"veg",2012,3,"ne","bkca",17.9,0,65,0,0
"veg",2012,3,"ne","bkca",10,0,35,0,40
"veg",2012,3,"ne","bkca",0,0,25,0,8
"veg",2012,3,"ne","bkca",0,0,0,0,35
"veg",2012,3,"ne","bkca",12.8,0,0,0,75
"veg",2012,3,"ne","bkca",3.3,0,50,0,10
"veg",2012,3,"ne","bkca",0,0,75,0,5
"veg",2012,3,"ne","bkca",17.9,0,40,0,15
"veg",2012,3,"nc","slnwr",0.6,0,25,0,25
"veg",2012,3,"nc","slnwr",3,0,40,0,3
"veg",2012,3,"nc","slnwr",37.2,0,70,0,5
"veg",2012,3,"nc","slnwr",0,0,45,0,5
"veg",2012,3,"nc","slnwr",34.6,0,95,0,0
"veg",2012,2,"nc","slnwr",21.5,0,89,0,10
"veg",2012,2,"nc","slnwr",0,0,90,0,0
"veg",2012,2,"nc","slnwr",12.8,0,98,0,0
"veg",2012,2,"nc","slnwr",10.4,0,99,0,0
"veg",2012,2,"nc","slnwr",0,0,40,0,0
"veg",2012,3,"nc","slnwr",24.2,0,70,0,0
"veg",2012,3,"nc","slnwr",0,0,29,0,70
"veg",2012,3,"nc","slnwr",0,0,10,0,0
"veg",2012,3,"nc","slnwr",3,0,50,0,20
"veg",2012,3,"nc","slnwr",0,0,50,0,0
"veg",2012,2,"nc","slnwr",15.2,0,50,0,0
"veg",2012,2,"nc","slnwr",0,0,50,0,0
"veg",2012,2,"nc","slnwr",0,0,20,0,30
"veg",2012,2,"nc","slnwr",11.4,0,75,0,0
"veg",2012,2,"nc","slnwr",34,0,20,0,60
"veg",2012,2,"nc","slnwr",17.2,0,45,0,0
"veg",2012,2,"nc","slnwr",14.2,0,50,0,0
"veg",2012,2,"nc","slnwr",34,0,27,0,0
"veg",2012,2,"nc","slnwr",0,0,86,0,0
"veg",2012,2,"nc","slnwr",20,0,50,0,0
"veg",2012,3,"nc","slnwr",0,0,5,0,35
"veg",2012,3,"nc","slnwr",15.6,0,46,0,3
"veg",2012,3,"nc","slnwr",4.4,0,89,0,10
"veg",2012,3,"nc","slnwr",3.8,0,15,0,17
"veg",2012,3,"nc","slnwr",5.8,0,88,0,0
"veg",2012,3,"nc","slnwr",7.4,0,75,0,0
"veg",2012,3,"nc","slnwr",13,0,3,0,15
"veg",2012,3,"nc","slnwr",39.2,0,55,0,35
"veg",2012,3,"nc","slnwr",16.2,0,0,0,10
"veg",2012,3,"nc","slnwr",0,0,98,0,0
"veg",2012,3,"nc","slnwr",33.6,0,32,0,45
"veg",2012,3,"nc","slnwr",5.2,0,3,0,15
"veg",2012,3,"nc","slnwr",0.6,0,70,0,0
"veg",2012,3,"nc","slnwr",0,0,40,0,0
"veg",2012,3,"nc","slnwr",0,0,90,0,0
"veg",2012,3,"nc","slnwr",5,0,99,0,0
"veg",2012,3,"nc","slnwr",10.6,0,95,0,0
"veg",2012,3,"nc","slnwr",0,0,0,0,20
"veg",2012,3,"nc","slnwr",0,0,85,0,5
"veg",2012,3,"nc","slnwr",15.2,0,75,0,9
"veg",2012,3,"nc","slnwr",13.4,0,3,0,12
"veg",2012,3,"nc","slnwr",0,0,90,0,0
"veg",2012,3,"nc","slnwr",4.8,0,90,0,0
"veg",2012,3,"nc","slnwr",0,0,79,0,0
"veg",2012,3,"nc","slnwr",16.8,0,25,0,0
"veg",2012,3,"nc","slnwr",15.6,0,90,0,0
"veg",2012,3,"nc","slnwr",15.2,0,30,0,35
"veg",2012,3,"nc","slnwr",13.4,0,40,0,20
"veg",2012,3,"nc","slnwr",0,0,90,0,0
"veg",2012,3,"nc","slnwr",33.6,0,0,0,0
"veg",2012,2,"nc","slnwr",10.8,0,25,0,0
"veg",2012,2,"nc","slnwr",10.4,0,90,0,0
"veg",2012,2,"nc","slnwr",0,0,65,0,0
"veg",2012,2,"nc","slnwr",19.5,0,50,0,0
"veg",2012,2,"nc","slnwr",0,0,98,0,0
"veg",2012,3,"ne","tsca",0,0,25,0,25
"veg",2012,3,"ne","tsca",0,0,50,0,0
"veg",2012,3,"ne","tsca",0,0,15,0,0
"veg",2012,3,"ne","tsca",0,0,30,0,0
"veg",2012,3,"ne","tsca",0,0,0,0,75
"veg",2012,3,"ne","tsca",2.2,0,50,0,0
"veg",2012,3,"ne","tsca",0,0,0,0,0
"veg",2012,3,"ne","tsca",0,0,50,0,38
"veg",2012,3,"ne","tsca",0,0,0,0,45
"veg",2012,3,"ne","tsca",0,0,51,0,25
"veg",2012,3,"nc","fgca",5.6,0,0,0,0
"veg",2012,3,"nc","fgca",0,0,15,0,0
"veg",2012,3,"nc","fgca",0,0,20,0,0
"veg",2012,3,"nc","fgca",1.2,0,35,0,0
"veg",2012,3,"nc","fgca",21.2,0,40,0,0
"veg",2012,2,"se","osca",20.8,0,35,0,0
"veg",2012,2,"se","osca",0,0,0,0,0
"veg",2012,2,"se","osca",16.2,0,15,0,10
"veg",2012,2,"se","osca",0,0,25,0,0
"veg",2012,2,"se","osca",20.6,0,5,0,0
"veg",2013,3,"ne","bkca",0,0,0,0,75
