"spp","year","round","region","area","averagewater","point_type","annual","perennial","up"
"veg",2012,3,"ne","ccnwr",0,0,100,0,0
"veg",2012,3,"ne","ccnwr",14,0,2,0,0
"veg",2012,3,"ne","ccnwr",15.6,0,100,0,0
"veg",2012,3,"ne","ccnwr",0,0,50,0,10
"veg",2012,3,"ne","ccnwr",0,0,0,0,0
"veg",2012,3,"ne","ccnwr",0,0,0,0,10
"veg",2012,3,"ne","ccnwr",0,0,60,0,0
"veg",2012,3,"ne","ccnwr",15.6,0,20,0,0
"veg",2012,3,"ne","ccnwr",0,0,5,0,45
"veg",2012,3,"ne","ccnwr",10.6,0,15,0,0
"veg",2012,3,"ne","ccnwr",15.6,0,60,0,0
"veg",2012,3,"ne","ccnwr",0,0,15,0,0
"veg",2012,3,"ne","ccnwr",0,0,100,0,0
"veg",2012,3,"ne","ccnwr",0,0,15,0,80
"veg",2012,3,"ne","ccnwr",0,0,53,0,0
"veg",2012,3,"se","dcca",0,0,0,0,0
"veg",2012,3,"se","dcca",6.8,0,9,0,0
"veg",2012,3,"se","dcca",3.2,0,0,0,35
"veg",2012,3,"se","dcca",2.6,0,15,0,35
"veg",2012,3,"se","dcca",1.6,0,20,0,5
"veg",2012,3,"ne","bkca",13.2,0,0,0,0
"veg",2012,3,"ne","bkca",33.8,0,50,0,15
"veg",2012,3,"ne","bkca",18.6,0,60,0,3
"veg",2012,3,"ne","bkca",4.8,0,0,0,85
"veg",2012,3,"ne","bkca",1.8,0,0,0,55
"veg",2012,2,"ne","bkca",4.2,0,0,0,0
"veg",2012,2,"ne","bkca",0,0,38,0,15
"veg",2012,2,"ne","bkca",8.8,0,10,0,20
"veg",2012,2,"ne","bkca",0,0,38,0,3
"veg",2012,2,"ne","bkca",14.8,0,90,0,0
"veg",2012,3,"ne","bkca",3.3,0,40,0,0
"veg",2012,3,"ne","bkca",18.6,0,0,0,15
"veg",2012,3,"ne","bkca",12.6,0,0,0,0
