"spp","source","odate"
"Virginia Rail","Opportunistic",241
"Virginia Rail","Opportunistic",267
"Virginia Rail","Opportunistic",293
"Virginia Rail","Opportunistic",271
"Virginia Rail","Opportunistic",235
"Virginia Rail","Opportunistic",235
"Virginia Rail","Opportunistic",235
"Virginia Rail","Opportunistic",246
"Virginia Rail","Opportunistic",290
"Virginia Rail","Opportunistic",259
"Virginia Rail","Opportunistic",244
"Virginia Rail","Opportunistic",273
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",320
"Virginia Rail","Opportunistic",318
"Virginia Rail","Opportunistic",284
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",307
"Virginia Rail","Opportunistic",298
"Virginia Rail","Opportunistic",223
"Virginia Rail","Opportunistic",230
"Virginia Rail","Opportunistic",228
"Virginia Rail","Opportunistic",242
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",263
"Virginia Rail","Opportunistic",225
"Virginia Rail","Opportunistic",261
"Virginia Rail","Opportunistic",254
"Virginia Rail","Opportunistic",254
"Virginia Rail","Opportunistic",254
"Virginia Rail","Opportunistic",230
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",295
"Virginia Rail","Opportunistic",296
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",305
"Virginia Rail","Opportunistic",217
"Virginia Rail","Opportunistic",217
"Virginia Rail","Opportunistic",282
"Virginia Rail","Opportunistic",293
"Virginia Rail","Opportunistic",266
"Virginia Rail","Opportunistic",294
"Virginia Rail","Opportunistic",294
"Virginia Rail","Opportunistic",293
"Virginia Rail","Opportunistic",293
"Virginia Rail","Opportunistic",277
"Virginia Rail","Opportunistic",277
"Virginia Rail","Opportunistic",295
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",300
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",291
"Virginia Rail","Opportunistic",291
"Virginia Rail","Opportunistic",291
"Virginia Rail","Opportunistic",291
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",299
"Virginia Rail","Opportunistic",295
"Virginia Rail","Opportunistic",296
"Virginia Rail","Opportunistic",301
"Virginia Rail","Opportunistic",301
"Virginia Rail","Opportunistic",328
"Virginia Rail","Opportunistic",311
"Virginia Rail","Opportunistic",296
"Virginia Rail","Opportunistic",295
"Virginia Rail","Opportunistic",316
"Virginia Rail","Opportunistic",316
"Virginia Rail","Opportunistic",311
"Virginia Rail","Opportunistic",213
"Virginia Rail","Opportunistic",292
"Virginia Rail","Opportunistic",282
"Virginia Rail","Opportunistic",292
